window,source,post_id,url,label,complaint_theme
Opus 5 (Jul 24-25),hacker_news,49055083,https://news.ycombinator.com/item?id=49055083,negative,quality
Opus 5 (Jul 24-25),hacker_news,49053934,https://news.ycombinator.com/item?id=49053934,negative,price_limits
Opus 5 (Jul 24-25),hacker_news,49053709,https://news.ycombinator.com/item?id=49053709,neutral,
Opus 5 (Jul 24-25),hacker_news,49053330,https://news.ycombinator.com/item?id=49053330,negative,quality
Opus 5 (Jul 24-25),hacker_news,49053309,https://news.ycombinator.com/item?id=49053309,neutral,
Opus 5 (Jul 24-25),hacker_news,49053210,https://news.ycombinator.com/item?id=49053210,neutral,
Opus 5 (Jul 24-25),hacker_news,49053154,https://news.ycombinator.com/item?id=49053154,negative,other
Opus 5 (Jul 24-25),hacker_news,49052980,https://news.ycombinator.com/item?id=49052980,negative,quality
Opus 5 (Jul 24-25),hacker_news,49052777,https://news.ycombinator.com/item?id=49052777,positive,
Opus 5 (Jul 24-25),hacker_news,49052245,https://news.ycombinator.com/item?id=49052245,negative,quality
Opus 5 (Jul 24-25),hacker_news,49051948,https://news.ycombinator.com/item?id=49051948,negative,quality
Opus 5 (Jul 24-25),hacker_news,49051539,https://news.ycombinator.com/item?id=49051539,irrelevant,
Opus 5 (Jul 24-25),hacker_news,49050991,https://news.ycombinator.com/item?id=49050991,positive,
Opus 5 (Jul 24-25),hacker_news,49050676,https://news.ycombinator.com/item?id=49050676,neutral,
Opus 5 (Jul 24-25),hacker_news,49050269,https://news.ycombinator.com/item?id=49050269,positive,
Opus 5 (Jul 24-25),hacker_news,49049410,https://news.ycombinator.com/item?id=49049410,irrelevant,
Opus 5 (Jul 24-25),hacker_news,49048938,https://news.ycombinator.com/item?id=49048938,negative,quality
Opus 5 (Jul 24-25),hacker_news,49048929,https://news.ycombinator.com/item?id=49048929,negative,quality
Opus 5 (Jul 24-25),hacker_news,49048923,https://news.ycombinator.com/item?id=49048923,negative,quality
Opus 5 (Jul 24-25),hacker_news,49048905,https://news.ycombinator.com/item?id=49048905,negative,style
Opus 5 (Jul 24-25),hacker_news,49048842,https://news.ycombinator.com/item?id=49048842,negative,quality
Opus 5 (Jul 24-25),hacker_news,49048802,https://news.ycombinator.com/item?id=49048802,positive,
Opus 5 (Jul 24-25),hacker_news,49048586,https://news.ycombinator.com/item?id=49048586,negative,other
Opus 5 (Jul 24-25),hacker_news,49048560,https://news.ycombinator.com/item?id=49048560,neutral,
Opus 5 (Jul 24-25),hacker_news,49048354,https://news.ycombinator.com/item?id=49048354,neutral,
Opus 5 (Jul 24-25),hacker_news,49048141,https://news.ycombinator.com/item?id=49048141,negative,other
Opus 5 (Jul 24-25),hacker_news,49048098,https://news.ycombinator.com/item?id=49048098,irrelevant,
Opus 5 (Jul 24-25),hacker_news,49047820,https://news.ycombinator.com/item?id=49047820,negative,other
Opus 5 (Jul 24-25),hacker_news,49047819,https://news.ycombinator.com/item?id=49047819,positive,
Opus 5 (Jul 24-25),hacker_news,49047745,https://news.ycombinator.com/item?id=49047745,negative,other
Opus 5 (Jul 24-25),hacker_news,49047199,https://news.ycombinator.com/item?id=49047199,neutral,
Opus 5 (Jul 24-25),hacker_news,49047153,https://news.ycombinator.com/item?id=49047153,negative,other
Opus 5 (Jul 24-25),hacker_news,49046648,https://news.ycombinator.com/item?id=49046648,positive,
Opus 5 (Jul 24-25),hacker_news,49046533,https://news.ycombinator.com/item?id=49046533,negative,other
Opus 5 (Jul 24-25),hacker_news,49046504,https://news.ycombinator.com/item?id=49046504,positive,
Opus 5 (Jul 24-25),hacker_news,49046378,https://news.ycombinator.com/item?id=49046378,neutral,
Opus 5 (Jul 24-25),hacker_news,49046326,https://news.ycombinator.com/item?id=49046326,neutral,
Opus 5 (Jul 24-25),hacker_news,49046161,https://news.ycombinator.com/item?id=49046161,neutral,
Opus 5 (Jul 24-25),hacker_news,49046098,https://news.ycombinator.com/item?id=49046098,neutral,
Opus 5 (Jul 24-25),hacker_news,49045940,https://news.ycombinator.com/item?id=49045940,neutral,
Opus 5 (Jul 24-25),hacker_news,49045923,https://news.ycombinator.com/item?id=49045923,positive,
Opus 5 (Jul 24-25),hacker_news,49045871,https://news.ycombinator.com/item?id=49045871,neutral,
Opus 5 (Jul 24-25),hacker_news,49045835,https://news.ycombinator.com/item?id=49045835,irrelevant,
Opus 5 (Jul 24-25),hacker_news,49045573,https://news.ycombinator.com/item?id=49045573,neutral,
Opus 5 (Jul 24-25),hacker_news,49045555,https://news.ycombinator.com/item?id=49045555,negative,quality
Opus 5 (Jul 24-25),hacker_news,49045430,https://news.ycombinator.com/item?id=49045430,neutral,
Opus 5 (Jul 24-25),hacker_news,49045399,https://news.ycombinator.com/item?id=49045399,positive,
Opus 5 (Jul 24-25),hacker_news,49045307,https://news.ycombinator.com/item?id=49045307,neutral,
Opus 5 (Jul 24-25),hacker_news,49045275,https://news.ycombinator.com/item?id=49045275,negative,other
Opus 5 (Jul 24-25),hacker_news,49045169,https://news.ycombinator.com/item?id=49045169,positive,
Opus 5 (Jul 24-25),hacker_news,49045140,https://news.ycombinator.com/item?id=49045140,negative,style
Opus 5 (Jul 24-25),hacker_news,49045107,https://news.ycombinator.com/item?id=49045107,positive,
Opus 5 (Jul 24-25),hacker_news,49044937,https://news.ycombinator.com/item?id=49044937,irrelevant,
Opus 5 (Jul 24-25),hacker_news,49044858,https://news.ycombinator.com/item?id=49044858,neutral,
Opus 5 (Jul 24-25),hacker_news,49044813,https://news.ycombinator.com/item?id=49044813,neutral,
Opus 5 (Jul 24-25),hacker_news,49044670,https://news.ycombinator.com/item?id=49044670,positive,
Opus 5 (Jul 24-25),hacker_news,49044521,https://news.ycombinator.com/item?id=49044521,positive,
Opus 5 (Jul 24-25),hacker_news,49044485,https://news.ycombinator.com/item?id=49044485,neutral,
Opus 5 (Jul 24-25),hacker_news,49044428,https://news.ycombinator.com/item?id=49044428,neutral,
Opus 5 (Jul 24-25),hacker_news,49044306,https://news.ycombinator.com/item?id=49044306,positive,
Opus 5 (Jul 24-25),hacker_news,49044302,https://news.ycombinator.com/item?id=49044302,negative,safeguards
Opus 5 (Jul 24-25),hacker_news,49044280,https://news.ycombinator.com/item?id=49044280,neutral,
Opus 5 (Jul 24-25),hacker_news,49044265,https://news.ycombinator.com/item?id=49044265,negative,quality
Opus 5 (Jul 24-25),hacker_news,49044201,https://news.ycombinator.com/item?id=49044201,negative,safeguards
Opus 5 (Jul 24-25),hacker_news,49043889,https://news.ycombinator.com/item?id=49043889,irrelevant,
Opus 5 (Jul 24-25),hacker_news,49043864,https://news.ycombinator.com/item?id=49043864,irrelevant,
Opus 5 (Jul 24-25),hacker_news,49043849,https://news.ycombinator.com/item?id=49043849,positive,
Opus 5 (Jul 24-25),hacker_news,49043681,https://news.ycombinator.com/item?id=49043681,negative,quality
Opus 5 (Jul 24-25),hacker_news,49043668,https://news.ycombinator.com/item?id=49043668,positive,
Opus 5 (Jul 24-25),hacker_news,49043578,https://news.ycombinator.com/item?id=49043578,negative,safeguards
Opus 5 (Jul 24-25),hacker_news,49043404,https://news.ycombinator.com/item?id=49043404,neutral,
Opus 5 (Jul 24-25),hacker_news,49043384,https://news.ycombinator.com/item?id=49043384,irrelevant,
